Source,Brand,Model,Price (RM),Engine,Year,Fuel Economy,Seats,Boot Space,Safety Rating,Maintenance Cost,Horsepower,TOPSIS Score,Rank
Carlist,Toyota,Hiace 3.0 Panel,122148,3.0L,2026,9.0,2,6000,4,6000,151,0.724,1
Carlist,Toyota,Hiace 3.0L (M),148000,3.0L,2025,9.0,2,6000,4,6000,151,0.704,2
Carlist,Perodua,Bezza 1.0 G,36580,1.0L,2025,4.4,5,508,4,2300,67,0.626,3
Carlist,Perodua,Bezza 1.3 X,43980,1.3L,2025,4.7,5,508,5,2600,94,0.624,4
Carlist,Perodua,Bezza 1.3 Advance,49980,1.3L,2026,4.7,5,508,5,2600,94,0.621,5
Carlist,Byd,Seal 6,94000,EV,2025,0.0,5,400,5,1800,313,0.618,6
Carlist,Perodua,Axia 1.0 G,38600,1.0L,2026,4.3,5,265,4,2400,67,0.616,7
Carlist,Perodua,Axia 1.0 X,40000,1.0L,2026,4.3,5,265,4,2400,67,0.616,8
Carlist,Proton,Saga 1.5 Standard,38990,1.3L,2025,6.7,5,420,4,3000,95,0.614,9
Carlist,Byd,M6 Extended Range,105800,EV,2024,0.0,7,580,5,2000,204,0.614,10
Carlist,Byd,M6 Standard Range,105800,EV,2024,0.0,7,580,5,2000,204,0.614,11
Carlist,Perodua,Axia 1.0 Se,44000,1.0L,2025,4.3,5,265,4,2400,67,0.614,12
Carlist,Perodua,Myvi 1.5 X,50900,1.5L,2026,4.7,5,277,5,2800,102,0.612,13
Carlist,Perodua,Axia 1.0 Av,49500,1.0L,2026,4.3,5,265,4,2400,67,0.611,14
Carlist,Byd,Atto 3 Ultra,102800,EV,2025,0.0,5,440,5,1500,201,0.610,15
Carlist,Perodua,Myvi 1.5 H,54900,1.5L,2026,4.7,5,277,5,2800,102,0.610,16
Carlist,Byd,Atto 3 Suv,103300,EV,2025,0.0,5,440,5,1500,201,0.609,17
Carlist,Byd,Seal 6 Premium,107800,EV,2025,0.0,5,400,5,1800,313,0.609,18
Carlist,Proton,S70 1.5 Executive,64900,1.5L,2026,6.2,5,510,5,3800,150,0.608,19
Carlist,Perodua,Myvi 1.5 Av,59900,1.5L,2026,4.7,5,277,5,2800,102,0.607,20
Carlist,Perodua,Alza 1.5 Av,75500,1.5L,2025,5.3,7,498,5,3200,106,0.605,21
Carlist,Honda,City 1.5 S,71900,1.5L,2024,5.4,5,519,5,3800,121,0.605,22
Carlist,Honda,City 1.5 Rs,88900,1.5L,2024,3.6,5,410,5,4200,109,0.604,23
Carlist,Proton,S70 1.5 Premium,70800,1.5L,2026,6.2,5,510,5,3800,150,0.604,24
Carlist,Proton,S70 1.5 Flagship,78800,1.5L,2025,6.2,5,510,5,3800,150,0.599,25
Carlist,Toyota,Vios 1.5 G,85310,1.5L,2026,5.2,5,475,5,3500,106,0.598,26
Carlist,Toyota,Yaris 1.5 G,82710,1.5L,2026,5.1,5,286,5,3400,106,0.598,27
Carlist,Toyota,Veloz 1.5 Mpv,94710,1.5L,2026,5.3,7,498,5,3600,106,0.594,28
Carlist,Toyota,Vios 1.5 Hev,103900,1.5L,2026,5.2,5,475,5,3500,106,0.587,29
Carlist,Perodua,Ativa 1.0 H,67300,1.0L,2025,5.3,5,303,5,3100,98,0.585,30
Carlist,Mitsubishi,Xpander 1.5 Mpv,99980,1.5L,2025,7.0,7,495,4,3800,105,0.582,31
Carlist,Proton,Iriz 1.6 Active,53301,1.6L,2025,6.7,5,215,5,3200,109,0.579,32
Carlist,Mitsubishi,Xpander Plus Baru,109980,1.5L,2025,7.0,7,495,4,3800,105,0.576,33
Carlist,Proton,X50 1.5 Executive,79800,1.5L,2026,6.5,5,330,5,4200,150,0.575,34
Carlist,Proton,X50 1.5 Premium,91800,1.5L,2026,6.5,5,330,5,4200,150,0.567,35
Carlist,Perodua,Aruz 1.5 Av,70333,1.5L,2025,6.4,7,213,5,3500,102,0.565,36
Carlist,Chery,Omoda 5 1.5,88800,1.5L,2025,6.9,5,378,5,4000,156,0.565,37
Carlist,Proton,X50 1.5 Flagship,103300,1.5L,2026,6.5,5,330,5,4200,150,0.560,38
Carlist,Chery,Omoda E5 Suv,104000,EV,2025,0.0,5,378,5,4000,120,0.559,39
Carlist,Proton,X90 1.5 Executive,105800,1.5L,2025,6.8,7,257,5,5500,190,0.557,40
Carlist,Chery,Cross Turbo,80512,1.5L,2025,6.5,5,400,4,4000,120,0.552,41
Carlist,Chery,Tiggo Cross,78800,1.5L,2025,6.5,5,400,4,4000,120,0.552,42
Carlist,Chery,Tiggo Cross 1.5,80800,1.5L,2025,6.5,5,400,4,4000,120,0.551,43
Carlist,Proton,X70 1.5 Executive,96800,1.5L,2026,7.8,5,512,5,5000,184,0.548,44
Carlist,Chery,Tiggo 7 Pro,108800,1.6L,2025,7.0,5,475,5,4000,120,0.547,45
Carlist,Chery,O5 Facelift Has,105000,1.5L,2025,6.5,5,400,4,4000,120,0.536,46
Carlist,Chery,O5 1.5 Suv,108800,1.5L,2025,6.5,5,400,4,4000,120,0.534,47
Carlist,Proton,X70 1.5 Premium,106800,1.5L,2026,7.8,5,512,5,5000,184,0.542,48
Carlist,Toyota,Corolla Cross 1.8,129090,1.8L,2026,6.8,5,440,5,4000,120,0.541,49
Carlist,Chery,O5 My,109900,1.5L,2025,6.5,5,400,4,4000,120,0.533,50
Carlist,Chery,Tiggo 7 Phev,123800,1.6L,2025,7.0,5,475,5,4000,120,0.531,51
Carlist,Honda,Hr-V 1.5 S,109900,1.5L,2026,5.9,5,335,5,4000,121,0.528,52
Carlist,Honda,Hr-V 1.5 V,132900,1.5L,2025,5.9,5,335,5,4000,121,0.513,53
Carlist,Honda,Hr-V 1.5 E:Hev,141600,1.5L,2025,4.1,5,335,5,4500,131,0.511,54
Carlist,Honda,Civic 1.5 V,126800,1.5L,2025,6.3,5,497,5,4800,182,0.509,55
Carlist,Honda,Civic 1.5 E,144900,1.5L,2026,6.3,5,497,5,4800,182,0.498,56
Carlist,Honda,Civic 1.5 Rs,149900,1.5L,2025,6.3,5,497,5,4800,182,0.495,57
Carlist,Mitsubishi,Triton 2.4 Single,101980,2.4L,2025,8.2,5,1000,5,5500,184,0.490,58
Carlist,Honda,Civic 2.0 Ehev,162900,2.0L,2025,4.0,5,497,5,5500,184,0.485,59
Carlist,Mitsubishi,Triton 2.4 Auto,116980,2.4L,2025,8.2,5,1000,5,5500,184,0.481,60
Carlist,Mitsubishi,Triton 2.4 Gl,116980,2.4L,2025,8.2,5,1000,5,5500,184,0.481,61
Carlist,Chery,Tiggo 8 Pro,137800,2.0L,2025,7.4,7,193,5,4000,120,0.468,62
Carlist,Mitsubishi,Triton 2.4 Premium,145980,2.4L,2024,8.2,5,1000,5,5500,184,0.463,63
Carlist,Chery,Tiggo 8 Phev,159400,2.0L,2025,7.4,7,193,5,4000,120,0.455,64
Carlist,Mitsubishi,Triton 2.4 Athlete,159980,2.4L,2025,8.2,5,1000,5,5500,184,0.455,65
Carlist,Mitsubishi,Triton 2.4 Vgt,165980,2.4L,2024,8.2,5,1000,5,5500,184,0.452,66
Carlist,Byd,Seal Dynamic Sedan,163888,EV,2025,0.0,5,400,5,1800,313,0.448,67
Carlist,Byd,Seal Premium Sedan,161888,EV,2025,0.0,5,400,5,1800,313,0.444,68
Carlist,Mitsubishi,Fuso Tf Canter,144888,3.0L,2025,6.5,5,400,4,4000,120,0.428,69
Carlist,Mitsubishi,Fuso Canter 3.0,153800,3.0L,2025,6.5,5,400,4,4000,120,0.423,70
Carlist,Byd,Sealion 7 Performance,168888,EV,2025,0.0,5,400,5,1800,313,0.412,71
Carlist,Byd,Sealion 7 Premium,183800,EV,2025,0.0,5,400,5,1800,313,0.403,72
Carlist,Toyota,Fortuner 2.8 Vrz,241000,2.8L,2026,6.5,5,400,4,4000,120,0.375,73
Carlist,Honda,Civic 2.0 Type,276000,2.0L,2024,4.0,5,497,5,5500,184,0.368,74
Carlist,Toyota,Land Cruiser 3.3,488000,3.3L,2024,10.0,7,230,5,4000,120,0.273,75
Carlist,Toyota,Alphard 2.4 Executive,548000,2.4L,2026,9.5,7,190,5,4000,120,0.254,76
Carlist,Proton,e.MAS 5 Premium,72800,Electric (40kWh),2026,0.1,5,375,4,3000,114,0.793,1
Carlist,Proton,e.MAS 5 Prime,59800,Electric (30kWh),2026,0.1,5,375,4,3000,78,0.783,2
Carlist,Proton,e.MAS 7 Prime,109800,Electric (50kWh),2026,0.1,5,461,5,2500,218,0.745,3
Carlist,Proton,e.MAS 7 Premium,123800,Electric (60kWh),2026,0.1,5,461,5,2500,218,0.696,4
Carlist,Proton,e.MAS 7 PHEV Prime,109800,1.5L Hybrid,2026,4.3,5,528,5,8000,262,0.242,5
Carlist,Proton,e.MAS 7 PHEV Premium,123800,1.5L Hybrid,2026,4.3,5,528,5,8000,262,0.220,6
Carlist,Proton,e.MAS 7 PHEV Premium+,129800,1.5L Hybrid,2026,4.4,5,528,5,8000,262,0.213,7